序号,实质性★,重要▲,参数摘要,响应结论,响应说明
3288,,,支持查看医生申请流程节点数量查询、科室手术授权医生数、手术授权例数查询。 <!-- --> 2) 医师申请 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3289,,,支持医生个人手术的申请，申请的时候验证医生参与一助的手术例数，可关联查看参与一助手术的患者基本信息，从参与一助的手术列表中选择自己需要申请的手术。,正偏离/无偏离,平台已实现（详见对应功能模块）
3290,,,支持导出个人手术申请表。 <!-- --> 3) 医师审批 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3291,,,支持审批医生手术，支持多人批量审批，支持通过流程引擎配置审批流程，手术审批通过后将手术权限同步到HIS。 <!-- --> 4) 会议记录 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3292,,,支持手术授权过程中的会议记录，包含会议的名称、时间、地点、主持人、参会人员，可以通过会议关联授权申请单。 <!-- --> 5) 资质动态管理 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3293,,,支持查看医生手术开展情况，包含一级手术数、二级手术数、三级手术数、四级手术数、非计划再次手术数、手术并发症次数；可查看每类手术患者明细，支持跳转患者360视图。,正偏离/无偏离,平台已实现（详见对应功能模块）
3294,,,支持对医生授权权限的管理，可以取消当前可以开展的手术，可以查看被取消的手术权限。 <!-- --> 6) 手术授权报表统计 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3295,,,支持通过科室、医生姓名、手术类型、手术编码等条件统计医生的手术权限信息。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3296,,,支持对单个患者的院内医嘱、文书、报告查询等权限进行访问控制，可控制此类文书的查看、新增、修改、删除、打印权限，可控制权限访问的开始和结束时间。,正偏离/无偏离,平台已实现（详见对应功能模块）
3297,,,支持对上级和下级权限的控制，支持权限的授予和取消，支持批量取消授权。 <!-- --> 2) 授权审核 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3298,,,支持对医生临床授权申请后的审批，可以对申请进行通过和拒绝授权，授权的时候可以选择授权的类型，可以进行批量授权。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3299,,,对新项目新技术的申请、审批和后续的项目过程进行管理。 <!-- --> 1) 项目申请 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3300,,,项目负责人对即将要开展的新项目新技术进行申请，申请的时候填写项目申请表，系统内置申请表的样式，医院需要提供格式进行调整。 可管理项目申请状态，暂存状态下可修改或者删除申请单。 可查看项目申请情况和审核记录情况。 2) 项目审核 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3301,,,支持对新技术新项目的申请进行审批。,正偏离/无偏离,平台已实现（详见对应功能模块）
3302,,,支持对项目管理过程中的阶段性评估、不良事件、转常规、项目变更等内容的审批。,正偏离/无偏离,平台已实现（详见对应功能模块）
3303,,,支持批量审批。,正偏离/无偏离,平台已实现（详见对应功能模块）
3304,,,支持根据医院的实际情况配置审批流程。 <!-- --> 3) 项目管理 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3305,,,支持对已经审批后的项目进行日常管理，包含项目阶段性评估、不良事件管理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3306,,,支持以进度条的方式跟踪查看项目开展进度。,待复核,初评未匹配，须项目组逐条人工确认
3307,,,支持对项目的转常规和变更操作。,待复核,初评未匹配，须项目组逐条人工确认
3308,,,支持查看项目的生命周期和在每个阶段生成的各类表单和审批记录。,正偏离/无偏离,平台已实现（详见对应功能模块）
3309,,,申请审批管理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3310,,,提供日常业务的申请与审批，包括：系统权限申请、医疗技术申请、请假申请、会诊申请、处方权限申请、档案借阅申请、临床输血申请，及对应业务的审批。审批后档案同步更新到医务人员的个人医疗技术档案。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3311,,,支持申请通过自由式表单配置的如抗菌药物权限申请、抗肿瘤药物权限申请、麻醉药物权限申请、重大手术申请、处方权权限申请、医师权限申请、外请专家申请等各类申请信息的提交。,正偏离/无偏离,平台已实现（详见对应功能模块）
3312,,,支持通过申请日期、类型、状态查看申请状态。,待复核,初评未匹配，须项目组逐条人工确认
3313,,,支持申请单的提交、打印、作废、删除处理。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3314,,,支持审批各类日常业务申请单，可通过流程引擎配置各类申请单的审批流程，可以查看审批记录。 **医疗安全管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3315,,,支持对患者的投诉进行登记管理，包括投诉人信息、投诉内容、投诉日期、接诉部门、理诉部门、投诉方式等信息；支持记录投诉处理结果，查看投诉处理进度及调解情况，支持将投诉处理结果导出为EXCEL文档格式。,正偏离/无偏离,平台已实现（详见对应功能模块）
3316,,,支持对投诉记录进行分发，分发给被投诉科室进行调查。 <!-- --> 2) 事件调查 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3317,,,支持投诉分发科室进行调查，填写调查的事件经过，整改措施等，调查报表内容可根据医院实际情况修改。,正偏离/无偏离,平台已实现（详见对应功能模块）
3318,,,支持对调查内容的审批，审批流程根据医院实际情况调整。,正偏离/无偏离,平台已实现（详见对应功能模块）
3319,,,支持对调查内容的导出。 <!-- --> 3) 投诉处理 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3320,,,支持对投诉记录的调解处理，包含院方代表、调解时间、调解地点、院方法律人员、患方法律人员、调解结果等信息记录。,待复核,初评未匹配，须项目组逐条人工确认
3321,,,支持对调解不成功的记录进行诉讼处理，包含诉讼结果、诉讼时间等信息记录。,待复核,初评未匹配，须项目组逐条人工确认
3322,,,支持对诉讼的投诉内容进行赔偿处理，包含赔偿执行时间、执行地点、院方代表、患方代表、第三方机构、患者法律人员等信息。,正偏离/无偏离,平台已实现（详见对应功能模块）
3323,,,支持对处理结果的记录。,待复核,初评未匹配，须项目组逐条人工确认
3324,,,支持对投诉的伦理分析，包含伦理分析的时间、地点、方式、认定记录摘要、责任人相关信息。 <!-- --> 4) 投诉统计 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3325,,,支持通过投诉日期对投诉件数与处理结果的统计。,正偏离/无偏离,平台已实现（详见对应功能模块）
3326,,,支持按照被投诉科室事件数量、赔偿金额、事件类型占比等内容占比统计。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3327,,,支持误诊误治事件上报、麻醉不良事件上报、手术不良事件上报、导管/介入意外事件上报等。,正偏离/无偏离,平台已实现（详见对应功能模块）
3328,,,具备新增上报医疗不良事件功能。,正偏离/无偏离,平台已实现（详见对应功能模块）
3329,,,具备医疗不良事件上报信息的修改功能。,正偏离/无偏离,平台已实现（详见对应功能模块）
3330,,,具备对已上报的医疗不良事件上报信息进行撤销。,正偏离/无偏离,平台已实现（详见对应功能模块）
3331,,,具备对已上报的医疗不良事件上报信息进行删除。,正偏离/无偏离,平台已实现（详见对应功能模块）
3332,,,具备医疗不良事件上报信息查询功能。 <!-- --> 2) 事件审核 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3333,,,具备将不良事件登记逐级推送到上级审批部门。,正偏离/无偏离,平台已实现（详见对应功能模块）
3334,,,支持节点审批任务自定义。,正偏离/无偏离,平台已实现（详见对应功能模块）
3335,,,支持自由选择驳回节点。,待复核,初评未匹配，须项目组逐条人工确认
3336,,,具备不良事件审批功能。,正偏离/无偏离,平台已实现（详见对应功能模块）
3337,,,支持指派多部门执行，支持指派多人员执行，支持指派多角色执行。,正偏离/无偏离,平台已实现（详见对应功能模块）
3338,,,支持自定义不良事件驳回节点。 <!-- --> 3) 事件汇总 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3339,,,支持对所有医疗事件按照各类条件进行筛选统计。,正偏离/无偏离,平台已实现（详见对应功能模块）
3340,,,支持查看事件所有的申请和审批记录。,正偏离/无偏离,平台已实现（详见对应功能模块）
3341,,,支持导出事件列表。 <!-- --> 4) 事件分享 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3342,,,支持对事件分享，查看历史分享记录。 <!-- --> 5) 事件阅读 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3343,,,支持被分享人对事件的阅读查看。 **医疗活动管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3344,,,支持医院公益派单任务的记录和管理，包括下乡、义诊、公益体检、扶贫、志愿者、党员先锋队等任务；支持自由增加派单人员和通过不同的条件自动匹配和推荐派单人员。,正偏离/无偏离,平台已实现（详见对应功能模块）
3345,,,支持派单开销的填写，包含里程、午餐费、油费、救护车、药品、物资数量。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3346,,,支持医务科填写和管理院内外出到外院会诊记录的填写，包含会诊人员、会诊医院、是受手术、会诊日期、回院日期、会诊事项。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3347,,,支持外院专家到医院会诊的会诊记录信息的填写，包含会诊人员、人员电话、医院、邀会诊科室、会诊日期、离院日期、会诊事项。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3348,,,支持按照派单开始和结束日期统计外派数据。 **医师考核管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3349,,,支持批量导入教学培训考试成绩信息，考试成绩信息支持自动匹配同步到个人医疗技术的档案。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3350,,,支持批量导入定期考核记录。 **医师排班管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3351,,,支持医院维护院内标准班次类型。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3352,,,支持科室自行维护班次，包含班次名称、班次时间、班时、颜色、班次内容。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3353,,,支持科室人员排班管理，在编辑排班页面对科室人员班次信息进行排布，可以进行排班表的打印。,正偏离/无偏离,平台已实现（详见对应功能模块）
3354,,,支持按照不同维度进行排班与查询，支持复制上周排班等便捷操作，帮助医院更好地管理医生的工作安排和调度。,正偏离/无偏离,平台已实现（详见对应功能模块）
3355,,,支持临床科室主任对临床工作医生进行排班管理。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3356,,,支持查看全院门诊及住院所有排班信息。 **医德医风管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3357,,,支持医院自行维护加分项和减分项；支持不同权限的操作人员进行个人自评、科室评分、医院评分，评分过程中支持附件上传。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3358,,,支持考评项目的维护，包含考评项目标准分的维护、考评大类的维护。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3359,,,支持个人自评项目的维护，个人考评自评，考评附件的上传。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3360,,,支持科室对个人的评分进行二次评价。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3361,,,支持医院对科室及医生的评分进行最终评价。 **其他事物管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3362,,,支持对应急预案体系的维护、应急预案计划的制定，包括应急预案领导组长、成员、应急电话、应急科室、应急物资及应急药品等。,正偏离/无偏离,平台已实现（详见对应功能模块）
3363,,,支持对应急预案计划和记录的独立管理。,待复核,初评未匹配，须项目组逐条人工确认
3364,,,支持应急预案计划的启动、暂停、继续、终结，操作记录可以通过系统消息或者短信平台推送应急人员。 <!-- --> 2) 应急预案记录 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3365,,,支持对已发生的应急预案进行记录。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3366,,,支持医务科管理和记录所有医生的奖励和惩罚信息并记录到个人医疗技术档案。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3367,,,支持对科室常规事物如查房、培训、会议类事项进行登记。 **规章制度管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3368,,,支持对医院制度文件目录的创建，上传制度文件，文件的在线预览和下载。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3369,,,支持将文件按照角色，用户，部门进行权限分配，分配之后的角色用户可以查看上传的制度文件。 **临床患者管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3370,,,支持查看全院在院患者基本信息卡片，可通过护理级别、科室、主管医生、患者姓名等方式检索患者。,正偏离/无偏离,平台已实现（详见对应功能模块）
3371,,,支持查看患者基本信息。,正偏离/无偏离,平台已实现（详见对应功能模块）
3372,,,支持查看医嘱信息、检验信息、检查信息、手术信息、电子病历。 医疗统计分析,正偏离/无偏离,平台已实现（详见对应功能模块）
3373,,,支持医疗质量、医疗运营等相关报表统计。 **移动端管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3374,★,,通过移动端实现业务申请与审批，支持移动端日常业务申请与审批管理，档案的借阅申请与审批管理。 +-------------------------------+-------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
3375,,,"支持统计全院信息：全院护士人数(统计护理管理系统中全院护士人数)，全院上班人数(统计护理管理系统中今日排班人数,其中班次为考勤和出勤的护士)，全院请假人数(统计护理管理系统中今日排班人数,其中班次为休假和请假的护士)，全院住院人数(统计HIS系统中所有住院患者人数)，今日新入人数(统计HIS系统中所有今日入院患者人数)，今日新出人数(统计HIS系统中所有今日出院人数)，今日病危人数(统计HIS系统",正偏离/无偏离,平台已实现（详见对应功能模块）
3376,,,支持各科室床位使用率、护病比、护重比等指标查看。,正偏离/无偏离,平台已实现（详见对应功能模块）
3377,,,支持护理人员学历、职称、科室人员分布情况查看。 **待办事项&工作指引**,正偏离/无偏离,平台已实现（详见对应功能模块）
3378,,,"支持各类待办事项的提醒和处理监控功能，包括待审批、人事动态监控、排班监控、护理质量监控、护理敏感指标监控、护士长工作手册监控。系统可结合相关数据进行监控指标结果的分析统计，做到由管理层主动发起的""事务管理""向由系统自动跟踪的""智能管理""转变。 **人员档案**",正偏离/无偏离,平台已实现（详见对应功能模块）
3379,,,支持人事档案、人事管理、规培实习进修管理等功能，实现记录与查询相关人员基本信息管理、学历学位信息、工作经历信息、职称与晋升管理、学分信息、获奖信息、继续教育、科室人员配备、护士调动、护士轮转计划、带教老师与实习生评价、带教记录与总结等信息，实现相关人员基本情况和业务技术档案的无纸化管理，避免手工记录产生的误差。人员档案支持下载操作。,正偏离/无偏离,平台已实现（详见对应功能模块）
3380,,,包含在职人员档案、非编制人员档案、规培人员档案、非护理人员档案、来院进修人员档案、外出进修人员档案、实习人员档案信息维护。,正偏离/无偏离,平台已实现（详见对应功能模块）
3381,,,支持通过从HIS和HRP同步人员基本信息。,正偏离/无偏离,平台已实现（详见对应功能模块）
3382,,,支持人员基本信息的自我维护，可以启用审核功能，审核后才会生效修改内容。,待复核,初评未匹配，须项目组逐条人工确认
3383,,,支持人员档案的导出，可以选择需要导出的列进行Xls导出。,正偏离/无偏离,平台已实现（详见对应功能模块）
3384,,,支持对执业证书的状态，包含未填写、已过期、将过期等状态进行监控。,正偏离/无偏离,平台已实现（详见对应功能模块）
3385,,,支持科室人员调动管理，查看调动记录。,正偏离/无偏离,平台已实现（详见对应功能模块）
3386,,,支持护士轮转记录的制定，可以同时制定多个科室的轮转记录。,正偏离/无偏离,平台已实现（详见对应功能模块）
3387,,,支持人员的注销和恢复管理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3388,,,支持通过统计周期自动生成全院护理人员概况，各科护理人员分布、人员结构说明、护士离职情况，人员增长率、离职率、床护比等内容分析，可以进行打印和导出。 **护理排班**,正偏离/无偏离,平台已实现（详见对应功能模块）
3389,,,支持护理部门高效安排护理人员的工作时间，不同护理层级享有不同权限与功能。支持管理人员对病区护士按月、周进行排班，支持复制上周排班、复制当前排班到下一周和轮转排班、组合排班、自动计算工时、管床信息录入等便捷操作，方便护士长对人员的管理；支持二线排班与三线排班的管理。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3390,,,支持护理部维护全院统一班次类型，包含班次名称、性质、是否夜班、班次类型描述。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3391,,,支持科室维护自己的班次，可以复制其他科室的班次进行修改，维护班次内容包含班次名称、类型、班时、白班时长和夜班时长。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3392,,,支持科室组合排班的维护，在人员排班过程中可以调取组合维护的班次。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3393,,,支持按照科室、科室等级、护士层级、护士职称、护士职务分类维护每个班次对应的费用，用于费用统计。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3394,,,支持按照日、周、月三种视图进行排班情况的查看，可以通过科室、周数和姓名进行排班检索。,正偏离/无偏离,平台已实现（详见对应功能模块）
3395,,,可以启用排班审核参数，所有排班信息需要审核后生效。,正偏离/无偏离,平台已实现（详见对应功能模块）
3396,,,支持排班的打印、导出、备忘录、工作重点的管理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3397,,,支持排班页面进行班次的编辑、复制，管床的编辑和复制，可以参考上周排班情况，可以调整排班人员序号，可以借调其他科室的人员来本科室进行排班。可以检查排班的合理性，包含按人次、按班次、夜班的统计。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3398,,,支持科室护士长进行二线排班，排班的方式与人员排班类似，可以打印排班记录，可以查看排班修改记录。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3399,,,支持各科室进行三线排班，排班的方式与人员排班类似，可以打印排班记录，可以查看排班修改记录。 **护理质量管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3400,,,系统支持抽取质控指标进行表单重组，支持根据敏感指标进行质控评价，提供PDCA循环质量管理，提升护理质控水平。系统支持质控组织架构管理、质控人员管理、综合质量项目管理；支持医院质量检查PDCA管理循环，包括质控计划（P）、考核执行（D）、结果反馈（C）、改进审核（A）等环节；支持质量检查汇总与分析，通过模型汇总分析，明确责任护士护理的主要质量影响因子，为进一步提升护理质量提供帮助；同时提供汇总报表、,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3401,,,支持对各类标准质量检查标准的维护、版本管理、标准详情的查看。,正偏离/无偏离,平台已实现（详见对应功能模块）
3402,,,支持对每种质量标准进行系列项目的维护。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3403,,,支持对全院一、二、三级质量的组织进行维护。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3404,,,支持对已维护的组织进行组织内分组的维护，和分组内参与人员的维护。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3405,,,支持选择计划的周期生成计划,待复核,初评未匹配，须项目组逐条人工确认
3406,,,"""年""计划时，可以任意选择12个月份中的某一些月份。",待复核,初评未匹配，须项目组逐条人工确认
3407,,,"""月""计划时，可以任意选择一个或者多个月份，然后选择对应的周。",待复核,初评未匹配，须项目组逐条人工确认
3408,,,"""日""计划时，可以任意选择一个或者多个月份，然后选择对应的日期。",待复核,初评未匹配，须项目组逐条人工确认
3409,,,支持按照片区、楼宇、科室、护理单元四种类型勾选需要参与受检的科室。,正偏离/无偏离,平台已实现（详见对应功能模块）
3410,,,支持每个科室单独选择质控标准，且每个标准可以填写设置检查的次数，可以多选标准。,正偏离/无偏离,平台已实现（详见对应功能模块）
3411,,,支持质控计划按照计划日期，质控组织筛选已经建立的质控计划，可以通过计划标题和计划状态检索，可以查看计划执行进度。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3412,,,质控小组进行质量检查的主要操作页面，按照标准类别、科室和质控单展示未检查、进行中、已检查的质控计划。,正偏离/无偏离,平台已实现（详见对应功能模块）
3413,,,在质控计划列表中选择未检查或者检查后未提交的质控记录单，进入检查评分页面。,正偏离/无偏离,平台已实现（详见对应功能模块）
3414,,,"整个评分项目分""汇总""和""单项对象抽检""，其中汇总的分数为单个抽检求平均分，然后扣分原因为多个扣分原因汇总叠加。",正偏离/无偏离,平台已实现（详见对应功能模块）
3415,,,支持在抽检过程中可以在所选计划下增加一个临时表单进行评分，每次只能增加一个质控标准。评分的页面和普通抽检的方式是一样的。,正偏离/无偏离,平台已实现（详见对应功能模块）
3416,,,支持查看单个护理计划中每个质控记录分未查和已查的状态，其中未查状态无检查时间和检查者。已查的记录有检查者和检查时间，其中红色标记的记录为达不到符合率的记录。其中符合率有变化的记录为申诉成功的记录。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3417,,,质控检查中的成绩展示；可在此进行申诉，主要为受检科室提供成绩查看和申诉的入口；检查者和护理部也可在此处理申诉过程。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3418,,,由受检科室护士长查看检查成绩，然后从列表中点击进入申诉流程，选择申诉内容（申诉内容为检查项里面的错误项，可以选择汇总也可以选择抽检对象，可多选），然后填写申诉理由最后提交申诉。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3419,,,"提交后的申诉，申诉情况变为""待检查者处理""，检查者可以查看并填写检查者意见，但是检查者无权进行申诉结果的处理。",配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3420,,,"检查者提交意见后，申诉情况变为""待质控处理""，质控（护理部）可以查看申诉情况和检查者情况，然后处理质控结果，质控结果分为""成功""和""失败""。失败时：不影响原有得分率和落实率，成功时，如果项目是符合率则将结果自动改为符合，如果是得分率则默认满分，然后质控人可以执行更改得很，只能改抽检对象得分。",配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3421,,,"申诉流程结束后此申述完成，再次点击""申诉处理""可看到之前的申诉结果，不能修改，且不支持再次申诉。 <!-- -->",配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3422,,,循环改进页面，被检查者和检查者可以再此页面进行分析改进的处理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3423,,,支持批量进行原因分析，整改时间、整改措施、效果评价。,待复核,初评未匹配，须项目组逐条人工确认
3424,,,其中由护士长来填写原因分析，整改时间和整改措施。由质控人来填写效果评价。保存后页面显示护士长签名或质控小组签名。,正偏离/无偏离,平台已实现（详见对应功能模块）
3425,,,支持进入单个检查单处理流程。权限控制与批量处理一样。页面中的提交人、提交时间默认为当前登录账号和当前电脑时间。,正偏离/无偏离,平台已实现（详见对应功能模块）
3426,,,支持根因分析，填写根因的头骨名称，然后选择根因，生成鱼骨图。可以导出鱼骨图。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3427,,,选择检查时间和质控标准生成二三级质控报告。报告可以导出、打印。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3428,,,支持重点问题分析，选择检查时间、检查类型和检查标准筛选查询每个检查单中的细则发现的问题总数，按照发现问题次数倒序排序。涉及病区把所有有此类问题的科室都列举进去。点击查看可以查看发现此细则问题具体的检查记录，列举扣分原因。可以导出。,正偏离/无偏离,平台已实现（详见对应功能模块）
3429,,,支持重点人员分析。选择检查时间、检查类型和检查标准筛选查询每个检查单中的被检查人员发现的问题总数，按照发现问题合计数倒序排序。涉及病区把所有有此类问题的人员（护士长）都列举进去。按照质控的类型进行分类，点击查看可以查看发现此细则问题具体的检查记录，列举扣分原因，可以导出。,正偏离/无偏离,平台已实现（详见对应功能模块）
3430,,,支持重点科室分析。选择检查时间、检查类型和检查标准筛选查询每个检查单中的被检查科室发现的问题总数，按照发现问题合计数倒序排序。按照质控的类型进行分类，点击查看可以查看发现此细则问题具体的检查记录，列举扣分原因，可以导出。,正偏离/无偏离,平台已实现（详见对应功能模块）
3431,,,支持检查人员分析；选择检查时间、检查类型和检查标准筛选查询每个检查单中的检查者发现的问题总数，按照发现问题合计数倒序排序；按照质控的类型进行分类，点击查看可以查看发现此细则问题具体的检查记录，列举扣分原因，可以导出。,正偏离/无偏离,平台已实现（详见对应功能模块）
3432,,,支持得分分析；可以查看时间段内各表单和科室的得分趋势分析，可导出数据。,正偏离/无偏离,平台已实现（详见对应功能模块）
3433,,,支持持续改进分析；可以根据检查时间、检查标准生成检查内容、检查时间检查科室、重点问题、重点人员、根因分析记录。 **护理工作手册**,正偏离/无偏离,平台已实现（详见对应功能模块）
3434,,,支持护理人力资源配置与管理、护理工作计划与总结、护理质量管理、护理教学管理、护理科研管理、护理文化建设、大事/特殊事件记录、其他工作手册等功能模块。工作手册管理模拟医院纸质护士长手册，记录内容可提交、上传护理部，加强护士长对病房的护理监督，提高护理质量，使全院护理管理到达标准化，便于护理部对护士长工作的督促检查和指导。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3435,,,支持护理人员基本信息一览、护理人力资源管理统计、护理人员夜班及节假日值班统计、护理人力资源调配记录等统计信息的记录。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3436,,,支持年度工作计划、季度护理工作计划、月度护理工作计划、半年总结/年度总结记录、年度工作总结记录的填写。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3437,,,支持科室工作量统计、护理敏感质量指标监测结果、护理不良事件统计、输液（血）反应及处理情况登记、护理查房/疑难病例讨论登记的填写。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3438,,,支持科室业务学历计划及完成情况登记、护理技术操作培训/考核登记、护理技术操作考核评分、理论考试成绩登记、护士规范化培训学员临床护理教学登记、专科护士临床护理教学登记、进修护士临床护理教学登记、见习护士临床护理教学登记、实习护士临床护理教学登记、接待参观/来访登记、外出学习/参会登记的填写。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3439,,,支持护理科研论文发表登记、护理科研论文交流登记、护理专利登记、护理科研项目登记、护理新业务/新技术/技术革新登记、学术著作登记、护理情况年度汇总表的填写。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3440,,,支持特色文化建设登记、工休（护患沟通）会议记录、护士长沟通记录的填写。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3441,,,支持大事/特殊事件和其他事件的填写。 **护理敏感指标**,正偏离/无偏离,平台已实现（详见对应功能模块）
3442,,,支持根据实际需求预先设定敏感指标，例如：床护比、平均每日护患比、住院患者24小时平均护理时数、护士离职率、住院患者跌倒发生率、院内压疮发生率等。系统可结合相关数据进行指标结果的自动分析统计，实现系统自动跟踪的智能护理管理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3443,,,支持敏感指标的指标定义、指标说明和指标计算方法的维护。,正偏离/无偏离,平台已实现（详见对应功能模块）
3444,,,支持敏感指标填报表单和指标之间的绑定和填报科室的授权管理。,正偏离/无偏离,平台已实现（详见对应功能模块）
3445,,,支持选择不同的填报表单进行数据的填报，可以按照月、季度、日进行数据的填报。,正偏离/无偏离,平台已实现（详见对应功能模块）
3446,,,填报过程中可以对比系统获取的数据，可以手动调整数据。,正偏离/无偏离,平台已实现（详见对应功能模块）
3447,,,支持通过各类统计方案查看填报的指标情况。,正偏离/无偏离,平台已实现（详见对应功能模块）
3448,,,支持指标趋势对比分析。 **临床患者管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
3449,,,支持分科室查看患者卡片信息，可以通过病区、科室、病人和状态进行患者检索。,正偏离/无偏离,平台已实现（详见对应功能模块）
3450,,,支持选择患者查看患者基本信息、医嘱信息、检查信息、检验信息和手术信息。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
3451,,,支持公益派单无纸化管理，同时可根据预设条件进行人员推荐。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
3452,,,支持对患者的投诉进行登记管理，包括投诉人信息、投诉内容、投诉日期、接诉部门、理诉部门、投诉方式等信息；支持记录投诉处理结果，查看投诉处理进度及调解情况，支持将投诉处理结果导出为EXCEL文档格式。,正偏离/无偏离,平台已实现（详见对应功能模块）
3453,,,支持对投诉记录的调解处理，包含院方代表、调解时间、调解地点、院方法律人员、患方法律人员、调解结果等信息记录。,待复核,初评未匹配，须项目组逐条人工确认
