序号,实质性★,重要▲,参数摘要,响应结论,响应说明
2941,,,支持社区感染和医院感染。,部分响应,平台当前提供院感病例登记（感染部位、病原体、确诊日期）。本条所述社区感染与医院感染的来源分类登记与区分尚未提供，列入后续开发计划。
2942,,,支持ICU感染监测指标分析报告，统计三管（中心静脉置管、呼吸机、泌尿道插管）使用率及相关感染率，统计患者日感染发病率、调整日感染发病率，统计多重耐药菌检出数量，各项指标支持与去年同期相比；并有文字描述总体情况。,部分响应,平台当前提供三管千日感染率汇总（全院口径）。本条所述ICU感染监测指标分析报告（三管使用率及相关感染率、患者日感染发病率、调整日感染发病率、多重耐药菌检出数量、与去年同期对比、总体情况文字描述）尚未提供，列入后续开发计划。
2943,,,支持统计ICU按年月统计三管（中心静脉置管、呼吸机、泌尿道插管）使用情况。统计三管（中心静脉置管、呼吸机、泌尿道插管）使用率及相关感染率，统计患者日感染发病率、调整日感染发病率。,部分响应,平台当前提供三管千日感染率汇总（全院口径、不分时段）。本条所述按年月、按ICU统计三管使用情况、三管使用率及相关感染率、患者日感染发病率、调整日感染发病率尚未提供，列入后续开发计划。
2944,,,支持ICU侵入性操作日报。 **高危新生儿监测模块：** 针对高危新生儿的监测，着重监测新生儿两管（脐/中心静脉置管、呼吸机）使用及相关感染。并提供相应统计报表。,部分响应,平台当前提供置管逐日评估记录。本条所述ICU侵入性操作日报尚未提供；高危新生儿监测模块（新生儿两管使用及相关感染监测与统计报表）当前版本未提供。上述缺项列入后续开发计划。
2945,,,支持生成高危新生儿日志，针对新生儿特殊性，数据均以体重分类。,部分响应,本条所述高危新生儿日志及按出生体重分类统计当前版本未提供（患者档案出生体重字段一并列入后续开发计划）。
2946,,,支持统计两管（脐/中心静脉置管、呼吸机）使用率及相关感染率，统计患者日感染发病率、调整日感染发病率。,部分响应,平台当前提供中心静脉置管与呼吸机置管监测及千日感染率汇总。本条所述新生儿两管（含脐静脉置管类型）使用率、相关感染率、患者日感染发病率、调整日感染发病率统计尚未提供，列入后续开发计划。
2947,,,支持按年月、体重统计高危新生儿两管（脐/中心静脉置管、呼吸机）使用及相关感染率。 **多重耐药监测模块：** 智能筛选出多重耐药病人，并提供相关统计报表。,部分响应,平台当前提供三管千日感染率汇总（全院口径）。本条所述按年月、出生体重统计高危新生儿两管使用及相关感染率尚未提供；多重耐药监测模块（智能筛选多重耐药病人及相关统计报表）当前版本未提供。上述缺项列入后续开发计划。
2948,,,支持不依赖于LIS接口生成卫计委《[医院感染管理质量控制指标(2024年版](http://www.baidu.com/link?url=tYmv6hajaTZAcKBeumvkCXP8J9YipWJFK3HClbbOyyl8QY7S47PRcZ_TVYCyJOonI3Dtc9rhLwvTr6gybp8mQJnOU6_VYChn504JrjP4h_S)》（CRE、MRSA、VRE、CRABA、CR,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
2949,,,支持生成MDR、XDR、PDR各种耐药类型。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2950,,,支持ESBL+监测。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2951,,,支持区分社区感染和医院感染。,部分响应,平台当前提供院感病例登记（感染部位、病原体、确诊日期）。本条所述社区感染与医院感染的来源分类登记与区分尚未提供，列入后续开发计划。
2952,,,支持提供按类别统计耐药率统计报表。,部分响应,平台当前提供微生物药敏结果（敏感/中介/耐药）按检验医嘱录入与查看。本条所述按类别（菌种、标本、科室等）汇总的耐药率统计报表尚未提供，列入后续开发计划。
2953,,,支持提供多重耐药病人督导表。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2954,,,多耐病人列表处可一站查看病人诊断、检验、影像、电子病例等详情信息。,部分响应,平台当前提供患者360视图（门诊、检验、住院小结时间轴，通过独立菜单按患者检索进入）。本条所述多重耐药病人列表及从列表一站式查看诊断、检验、影像、电子病历详情的联动入口尚未提供，列入后续开发计划。
2955,,,支持提供多重耐药菌疑似院感漏报查询功能。,部分响应,本条所述多重耐药菌疑似院感漏报查询功能当前版本未提供（多重耐药菌判定与院感报卡比对一并列入后续开发计划）。
2956,,,支持提供医生上报多重耐药报告卡的功能。,部分响应,平台当前提供传染病报卡（甲乙丙类）的上报与审核。本条所述医生上报多重耐药报告卡的功能尚未提供，列入后续开发计划。
2957,,,支持医生在上报多重耐药报告卡时可选择检出状态非重复检出、重复检出等检出状态查询条件。,部分响应,本条所述多重耐药报告卡上报时按检出状态（非重复检出、重复检出等）查询的功能当前版本未提供（多重耐药报告卡一并列入后续开发计划）。
2958,,,支持医生报告时多重耐药患者标本结果前、后的抗菌药物使用情况支持手动添加与从医嘱添加两种数据填充模式。,部分响应,平台当前提供住院医嘱记录基础数据。本条所述多重耐药报告卡中标本结果前后抗菌药物使用情况的手动添加与从医嘱自动填充两种模式尚未提供，列入后续开发计划。
2959,,,支持医生报告时如果属于医院感染时，系统可提供手动添加与从报卡添加两种数据填充模式。,部分响应,平台当前提供医院感染病例手工登记基础能力：院感监测页面可手工录入感染部位、病原体、确诊日期等信息，并支持由三管（中心静脉导管、呼吸机、导尿管）监测判定后自动生成院感病例。本条所述从传染病报卡引用填充院感报告的「从报卡添加」数据填充模式尚未提供，列入后续开发计划。
2960,,,支持自动根据感染日期自动计算出本次感染发生于入院后第几天出现的感染。,部分响应,平台当前的院感病例登记已记录感染确诊日期，住院登记已记录入院时间，具备计算所需的数据基础。本条所述「自动计算本次感染发生于入院后第几天」的派生计算与页面展示尚未提供，列入后续开发计划。
2961,,,支持可打印空白的多重耐药报告卡模版。 **微生物监测模块：** 通过接口导入的病人送检信息及培养试验结果，系统自动分析病原体耐药情况，并提供相关统计报表。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
2962,,,支持细菌耐药查询，可根据指定病原体查询，并支持导出EXCEL。,部分响应,平台当前提供微生物检验结果及药敏结果的结构化录入与按检验申请查询基础能力。本条所述按指定病原体检索细菌耐药情况、以及查询结果导出 Excel 两项功能尚未提供，列入后续开发计划。
2963,,,支持按革兰氏阴性菌(G-)、革兰氏阳性菌(G+)分类统计。,部分响应,平台当前微生物结果录入界面支持标注革兰阳性（G+）/革兰阴性（G-），数据层已保存该分类。本条所述按 G-/G+ 分类的统计报表尚未提供，列入后续开发计划。
2964,,,支持区分社区感染和医院感染。,部分响应,平台当前提供院感病例登记与统计基础能力，登记内容含感染部位、病原体、确诊日期等。本条所述社区感染与医院感染的来源区分字段及相应统计尚未提供，列入后续开发计划。
2965,,,支持自定义病原体类别以及分类统计报表。 **抗菌药物监测模块：** 能够自动采集全部住院病人在院期间所有使用的抗生素，自动提供相关报表报表。,部分响应,平台当前微生物结果中的病原体为自由录入，暂无病原体类别字典，本条所述自定义病原体类别及分类统计报表尚未提供。抗菌药物监测方面，平台当前药事分析（用量排行、抗菌药费用、使用强度）以门诊处方为统计口径，本条所述自动采集全部住院患者在院期间抗生素使用并生成相关报表尚未提供。上述缺项列入后续开发计划。
2966,,,支持通过医院提供的抗生素字典表，可筛选出病人所有抗生素医嘱（在医嘱展示界面以红色显示）。,部分响应,平台当前药品字典提供抗生素标志及分级维护，支持批量导入更新。本条所述按患者筛选其全部抗生素医嘱、以及在医嘱展示界面以红色标识抗生素医嘱两项功能尚未提供，列入后续开发计划。
2967,,,支持将抗生素以及持续使用抗生素作为智能预警的条件。,部分响应,已提供：临床决策支持中的疗程上限提醒规则，可对特定抗菌药设置连续使用天数上限，门诊医生站开单时超限自动提醒并留痕。尚未提供：①以药品字典中的抗生素类别整体作为预警条件（当前按药品名称配置规则）；②住院医生站医嘱侧的触发；③疑似院感病例自动筛查的院感预警引擎与预警工作台。上述缺项列入后续开发计划。
2968,,,支持统计出抗菌药物联合用药使用率、联合用药构成比。,部分响应,平台当前提供药事分析（药品用量排行、抗菌药费用、使用强度）及药物相互作用禁忌提醒基础能力。本条所述抗菌药物联合用药使用率与联合用药构成比统计尚未提供，列入后续开发计划。
2969,,,支持按科室、医生统计抗生素用量排行；可指定抗生素品种统计。,部分响应,平台当前药事分析提供全院药品用量排行（前 30 位，带抗菌药标识）。本条所述按科室、按医生的抗生素用量排行，以及指定抗生素品种的筛选统计尚未提供，列入后续开发计划。
2970,,,支持统计全院抗生素品种用量排行。,部分响应,已提供：药事分析页面的全院药品用量排行（用量、金额、就诊人次，前 30 位），列表中以「抗」标签标识抗菌药。尚未提供：①单独的抗生素品种用量排行（当前抗菌药仅作为全品种列表中的标记）；②按用量排序（当前按金额排序）；③住院医嘱纳入统计（当前仅门诊口径，未达「全院」范围）。上述缺项列入后续开发计划。
2971,,,支持统计抗生素用量及费用情况。,部分响应,已提供：药事分析页面的药品用量排行，以及按月统计的药品费用中「其中抗菌药」金额汇总。尚未提供：①抗菌药用量的单独汇总口径（当前仅费用侧有抗菌药口径）；②住院抗菌药用量与费用纳入统计（当前仅门诊口径）。上述缺项列入后续开发计划。
2972,,,支持统计抗菌药物使用强度（DDD值）。,部分响应,已提供：药事分析页面的抗菌药物使用强度（AUD）指标，按 DDDs×100/出院患者床日数计算，DDD 折算系数在药品字典维护，指标按 ≤40 阈值红绿标色。尚未提供：①住院抗菌药医嘱纳入 DDDs 分子（当前分子为门诊口径，与住院床日分母口径不一致）；②科室维度的使用强度；③DDD 折算系数目前仅预置部分药品，其余抗菌药需补充维护后方可计入。上述缺项列入后续开发计划。
2973,,,支持用药目的(治疗、预防、治疗+预防)统计使用抗生素的病人送检率，阳性率统计，并可区分非限制级、特殊级、限制级三种级别。,部分响应,平台当前提供抗菌药物非限制级/限制级/特殊级三级分级字典，并在门诊医生站按分级控制处方权限。本条所述医嘱用药目的（治疗/预防/治疗+预防）字段、以及使用抗生素患者的病原学送检率、阳性率统计尚未提供，列入后续开发计划。
2974,,,支持按抗生素用药目的(治疗、预防、治疗+预防)用药率统计报表。,部分响应,平台当前提供抗菌药物分级管理基础能力。本条所述按用药目的（治疗/预防/治疗+预防）的用药率统计报表尚未提供，门诊与住院医嘱当前均无用药目的字段，列入后续开发计划。
2975,,,支持统计出Ⅰ类切口手术使用抗菌药物比例；术前0.5h-2h用药比例。,部分响应,平台当前提供住院手术登记基础能力。本条所述Ⅰ类切口手术抗菌药物使用比例、术前 0.5h–2h 用药比例统计尚未提供，手术记录当前无切口等级与手术开始时间字段，列入后续开发计划。
2976,,,支持统计手术使用抗菌药物天数。,部分响应,平台当前提供住院手术登记与药事分析基础能力。本条所述按手术维度统计围术期抗菌药物使用天数尚未提供，列入后续开发计划。
2977,,,支持抗菌药物治疗前病原学送检上报国家哨点医院平台系统。 **针刺伤与职业暴露模块：** 针对医务人员针刺伤及血液体液暴露情况的监测，及时给予相应处理的提示，并支持跟踪回访。,部分响应,平台当前提供微生物检验结果与抗菌药医嘱的基础数据记录。本条所述抗菌药物治疗前病原学送检率的院内统计尚未提供；向国家哨点医院平台上报需依据该平台的数据规范与接入条件进行对接，平台当前未内置该报送通道。针刺伤与职业暴露监测模块（暴露登记、处理提示、跟踪回访）当前版本未提供。上述缺项列入后续开发计划。
2978,,,调查表内容包括暴露情况、暴露源严重程度、评估、暴露后处理情况、暴露预防用药、临床观察、暴露后血清学检查以及结论。,部分响应,本条所述职业暴露调查表（暴露情况、暴露源严重程度、评估、暴露后处理、预防用药、临床观察、血清学检查及结论）登记功能当前版本未提供，列入后续开发计划。
2979,,,支持为每个登记人员打印空白调查表。,部分响应,本条所述为职业暴露登记人员打印空白调查表的功能当前版本未提供，列入后续开发计划。
2980,,,支持医生端打印血清学检查单。,部分响应,本条所述医生端打印职业暴露血清学检查单的功能当前版本未提供，列入后续开发计划。
2981,,,支持管理员对职业暴露检验申请单进行批准审核的功能。,部分响应,本条所述管理员对职业暴露检验申请单进行批准审核的功能当前版本未提供，列入后续开发计划。
2982,,,支持管理员对职业暴露检验情况进行跟踪查询的功能。,部分响应,本条所述管理员对职业暴露检验情况进行跟踪查询的功能当前版本未提供，列入后续开发计划。
2983,,,支持向管理员展示被暴露人员正在进行的第几次检查的功能。,部分响应,本条所述向管理员展示被暴露人员当前进行至第几次检查的功能当前版本未提供，列入后续开发计划。
2984,,,支持在职业暴露检验申请审核界面可直接调阅到被暴露详情情况的功能。,部分响应,本条所述在职业暴露检验申请审核界面直接调阅被暴露详情的功能当前版本未提供，列入后续开发计划。
2985,,,支持将职业暴露检验申请单查询数据导出的功能。,部分响应,本条所述职业暴露检验申请单查询数据导出的功能当前版本未提供，列入后续开发计划。
2986,,,支持后续回访、检查治疗提示，回访记录登记。,部分响应,平台当前提供面向患者的随访登记基础能力（随访主题、渠道、到期日）。本条所述针对医务人员职业暴露的后续回访、检查治疗提示与回访记录登记尚未提供，列入后续开发计划。
2987,,,支持按科室统计针刺伤情况，并计算各科室构成比。,部分响应,本条所述按科室统计针刺伤情况并计算各科室构成比的功能当前版本未提供，列入后续开发计划。
2988,,,支持按工别、工龄、性别分别统计，并计算构成比。,部分响应,本条所述职业暴露按工别、工龄、性别分别统计并计算构成比的功能当前版本未提供，列入后续开发计划。
2989,,,支持按关联操作进行统计，并计算各种操作的构成比，指导重点防护措施。,部分响应,本条所述职业暴露按关联操作统计并计算各操作构成比的功能当前版本未提供，列入后续开发计划。
2990,,,支持暴露源例数、预防用药例数、构成比的统计。,部分响应,本条所述职业暴露的暴露源例数、预防用药例数及构成比统计功能当前版本未提供，列入后续开发计划。
2991,,,支持对锐器伤暴露物品种类进行统计。,部分响应,本条所述锐器伤暴露物品种类统计功能当前版本未提供，列入后续开发计划。
2992,,,支持对暴露原因排名进行统计。 **环境卫生学监测：** 消毒卫生学监测、一次性物品监测、污水监测、消毒灭菌效果的监测结果录入及统计。,部分响应,本条所述职业暴露原因排名统计功能当前版本未提供。环境卫生学监测模块（消毒卫生学监测、一次性物品监测、污水监测、消毒灭菌效果监测的结果录入及统计）当前版本亦未提供。上述缺项列入后续开发计划。
2993,,,支持环境卫生学检测表录入（物表、空气、使用中的消毒剂、医务人员的手、无菌物品、接触皮肤黏膜物品、内镜（消毒级）、血透（反渗水 内毒素））采样数量、合格数量的录入，并统计相关合格率。,部分响应,本条所述环境卫生学检测表录入（物表、空气、使用中消毒剂、医务人员手、无菌物品、接触皮肤黏膜物品、内镜、血透反渗水内毒素等项目的采样数量、合格数量）及合格率统计功能当前版本未提供，列入后续开发计划。
2994,,,支持医院消毒产品信息登记。,部分响应,平台当前提供消毒供应中心器械包「打包—灭菌—发放—使用」条码追溯基础能力。本条所述医院消毒产品（消毒剂、灭菌器械等）信息登记功能尚未提供，列入后续开发计划。
2995,,,支持生成医院监测合格率报表。,部分响应,本条所述医院环境卫生学监测合格率报表当前版本未提供，列入后续开发计划。
2996,,,支持生成科室监测合格率报表。,部分响应,本条所述科室环境卫生学监测合格率报表当前版本未提供，列入后续开发计划。
2997,,,支持生成主要监测项目细菌检出情况报表。,部分响应,平台当前微生物检出数据仅挂接于患者检验标本。本条所述环境监测项目的细菌检出情况报表尚未提供，列入后续开发计划。
2998,,,支持查询消毒产品资质效期。,部分响应,平台当前提供药品批次近效期预警基础能力。本条所述消毒产品资质效期登记与查询尚未提供，列入后续开发计划。
2999,,,支持环境卫生监测结果能按科室导出数据。,部分响应,本条所述环境卫生监测结果按科室导出功能当前版本未提供，列入后续开发计划。
3000,,,支持环境卫生监测结果能按监测项目导出数据。,部分响应,本条所述环境卫生监测结果按监测项目导出功能当前版本未提供，列入后续开发计划。
3001,,,支持消毒物品资质登记表导出。 **手卫生依从性监测模块：** 手生卫依从性及正确性监测结果录入及统计。,部分响应,平台当前提供消毒供应中心器械包追溯及供应商资质台账基础能力。本条所述消毒物品资质登记表及其导出尚未提供。手卫生依从性监测模块（依从性及正确性监测结果录入与统计）当前版本亦未提供。上述缺项列入后续开发计划。
3002,,,支持手卫生依从性监测录入。,部分响应,对应业务登记能力已实现，字段级差异逐条比对
3003,,,支持手卫生正确性监测录入。,部分响应,对应业务登记能力已实现，字段级差异逐条比对
3004,,,支持移动端手机及平板APP录入。,部分响应,平台当前提供移动工作台，可通过手机、平板浏览器访问，承载体征录入、床旁长期医嘱执行、三级查房三类业务。本条所述手卫生依从性观察的移动端录入尚未提供，且当前移动端为响应式网页而非独立 APP，列入后续开发计划。
3005,,,移动端支持在一个界面同时观测多人录入。,部分响应,平台当前移动工作台采用单患者录入方式。本条所述手卫生观察在同一界面同时观测多人录入的功能尚未提供，列入后续开发计划。
3006,,,移动端支持离线（不联网）录入。,部分响应,平台当前移动工作台的录入均为在线实时保存。本条所述移动端离线（不联网）录入及联网后同步的能力尚未提供，列入后续开发计划。
3007,,,移动端结果支持导入到电脑端。,部分响应,本条所述移动端手卫生观察结果导入电脑端的功能当前版本未提供，列入后续开发计划。
3008,,,支持统计卫生依从率及正确率。,部分响应,本条所述手卫生依从率及正确率统计功能当前版本未提供，列入后续开发计划。
3009,,,支持统计手消用品领用情况。,部分响应,平台当前库存管理提供入库批次与效期预警基础能力。本条所述手消用品科室领用台账及领用情况统计尚未提供，列入后续开发计划。
3010,,,支持对比手消用品领用情况。,部分响应,【二级证据评审建议，待项目组签字】院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
3011,,,支持消毒物品床日消耗量的统计。,部分响应,平台当前提供消毒供应中心器械包状态追溯基础能力。本条所述消毒物品按床日消耗量的统计尚未提供，列入后续开发计划。
3012,,,支持按观察者统计出手卫生依从率。,部分响应,本条所述按观察者统计手卫生依从率的功能当前版本未提供，列入后续开发计划。
3013,,,支持按科室统计各指征依从率，并进行分析。 **现患率监测模块：** 医院现患率调查，并统计相关报表。,部分响应,本条所述按科室统计手卫生各指征依从率并分析的功能当前版本未提供，列入后续开发计划。现患率监测方面，平台提供院感监测页面的现患率调查一键生成与相关统计，详见后续条款应答。
3014,,,支持自动生成现患率调查表。,正偏离/无偏离,由院感监测页面「现患率调查」页签提供：点击「生成现患率调查表」即自动生成当日调查表，含调查日期、在院人数、现患感染数、现患率，以及逐患者明细（科室、住院号、患者、诊断、是否感染、感染部位）。
3015,,,支持横断面调查方法执行登记表。,部分响应,对应业务登记能力已实现，字段级差异逐条比对
3016,,,支持医院感染横断面调查个案登记表。,部分响应,平台当前提供现患率调查表一键生成（科室、住院号、患者、诊断、是否感染、感染部位简表）。本条所述医院感染横断面调查个案登记表（含抗菌药物使用、标本送检、危险因素、导管使用等项目）及其打印导出尚未提供，列入后续开发计划。
3017,,,支持医院感染横断面调查床旁调查表。,部分响应,平台当前提供现患率调查表一键生成简表。本条所述医院感染横断面调查床旁调查表及其打印尚未提供，列入后续开发计划。
3018,,,支持医院感染和社区感染。,部分响应,平台当前提供院感病例登记与现患率统计基础能力。本条所述医院感染与社区感染的区分字段尚未提供，当前登记病例在现患率统计中一律按医院感染计入，列入后续开发计划。
3019,,,支持生成全院患病率、感染率统计表。,部分响应,已提供：院感监测页面的全院现患率统计（在院人数、现患感染数、现患率）及三管相关千日感染率表。尚未提供：①发病率口径（新发例次/同期住院人数）统计；②统计表导出与打印；③时间段筛选（当前为当日在院实时快照）。上述缺项列入后续开发计划。
3020,,,支持统计科室现患率。,部分响应,已提供：现患率调查明细按科室排列展示，可逐科查看患者及感染情况。尚未提供：按科室的分组汇总与科室现患率自动计算（当前仅输出全院现患率）。上述缺项列入后续开发计划。
3021,,,支持生成感染部位构成比统计表。,部分响应,平台当前院感病例登记已记录感染部位，并提供病例明细列表。本条所述感染部位构成比统计表尚未提供，列入后续开发计划。
3022,,,支持按感染因素统计现患率。,部分响应,平台当前提供导管置管登记与院感病例登记基础能力。本条所述感染危险因素（手术、插管、免疫抑制、激素等）的采集字段及按因素统计现患率尚未提供，列入后续开发计划。
3023,,,支持病原体构成比。,部分响应,平台当前院感病例登记已记录病原体。本条所述病原体构成比统计尚未提供，列入后续开发计划。
3024,,,支持抗菌药物按用药目的、联用情况统计用药占有率，微生物送检情况。,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
3025,,,支持按不同手术切口统计感染人数。,部分响应,平台当前提供住院手术登记与院感病例登记基础能力。本条所述按手术切口类别统计感染人数尚未提供，手术记录当前无切口类别字段且感染病例未与手术关联，列入后续开发计划。
3026,,,支持按病原体统计药敏测试率、耐药率。,部分响应,平台当前提供药敏结果结构化录入与按检验申请查询（抗菌药、MIC 值、敏感/中介/耐药判读）。本条所述按病原体汇总的药敏测试率、耐药率统计报表尚未提供，列入后续开发计划。
3027,,,支持数据直报到省院感质控中心。,外部条件,平台当前提供院感监测内部统计（三管千日感染率、现患率）及院内 HL7 v2 接口基础能力。向省院感质控中心直报须依据该中心的数据规范、前置机及报送账号进行对接，相关规范与接入条件由医院向省院感质控中心申请获取；平台当前未内置该报送通道，接口对接列入后续开发计划。
3028,,,支持一键检查调查病人信息是否正常。 **院内交互平台模块：** 建立院感专职人员与临床的在线实时的交互平台。,部分响应,平台当前提供现患率调查表一键生成。本条所述对调查患者信息的一键完整性检查尚未提供。院内交互平台模块（院感专职人员与临床的在线实时交互）当前版本亦未提供。上述缺项列入后续开发计划。
3029,,,支持相关干预措施及时反馈至医生工作站或临床科室人员。,部分响应,平台当前提供检验危急值通知基础能力（限危急值场景）。本条所述院感干预措施反馈至医生工作站或临床科室人员的站内消息/待办推送尚未提供，列入后续开发计划。
3030,,,"支持将干预措施直接推送，可将有针对性的病例诊断建议,感染防控要点或SOP等内容及时推送给临床医生进行干预的功能。",部分响应,平台当前提供制度文件库，可维护并检索文本类规范内容。本条所述将病例诊断建议、感染防控要点或 SOP 等内容定向推送给临床医生的功能尚未提供，列入后续开发计划。
3031,,,支持医生上报后，及时发送消息到院感专职人员处。,部分响应,平台当前提供传染病报卡登记，院感专职人员可在报卡管理页面查看待处理报卡列表。本条所述医生上报后实时发送消息至院感专职人员的主动通知尚未提供，列入后续开发计划。
3032,,,支持报卡处理后，及时反馈信息给上报医生。,部分响应,已提供：报卡审核时回写审核意见、状态与审核时间，上报医生在报卡列表中可查看审核结果。尚未提供：审核完成后向上报医生的主动推送（定向消息、红点或待办提醒），当前需医生自行回到报卡页查看。上述缺项列入后续开发计划。
3033,,,支持院感报卡、职业暴露报卡等各种报卡成功后，实时提醒院感专职人员。,部分响应,平台当前提供传染病报卡登记基础能力。本条所述职业暴露报卡尚未提供；各类报卡成功后对院感专职人员的实时提醒亦尚未提供。上述缺项列入后续开发计划。
3034,,,支持法律法规、操作规范等学习内容发布。,部分响应,已提供：制度文件库，可按分类维护法律法规、操作规范等文本内容（标题、正文、版本），支持关键词检索与在线预览。尚未提供：①附件上传（当前正文为纯文本）；②发布动作与可见范围设置、向临床医生端投递；③阅读回执。上述缺项列入后续开发计划。
3035,,,统计的数据支持数据钻取功能，用于查询数据来源。 **工作量分析模块**,部分响应,平台当前院感统计报表（千日感染率、现患率、院感病例明细）以汇总值与固定明细形式呈现。本条所述从统计数据钻取至源单据以查询数据来源的功能尚未提供，列入后续开发计划。
3036,,,支持时间段统计出预警处理工作量明细。,部分响应,平台当前提供危急值、资质到期、库存效期等预警基础能力。本条所述院感预警处理台账及按时间段统计预警处理工作量明细尚未提供，列入后续开发计划。
3037,,,支持按医生汇总统计出确认、排除、未处理数量。,部分响应,本条所述院感预警按医生汇总确认、排除、未处理数量的统计功能当前版本未提供，列入后续开发计划。
3038,,,支持按院感科人员汇总统计出确认、排除、未处理数量。 **区域数据直报模块：** 将医院数据直报省院感质控中心。,外部条件,需医保局/省平台等外部环境开通后联调
3039,,,支持上报医院感染率。,外部条件,平台当前提供医院感染率的院内统计（三管千日感染率、现患率）。向国家或省级院感监测网上报医院感染率须依据其数据集与传输规范进行对接，规范与账号由医院向主管部门申请获取；平台当前未内置该报送通道，接口对接列入后续开发计划。
3040,,,支持上报ICU个案。,外部条件,平台当前提供 ICU 护理记录（体征、GCS 评分、出入量）基础能力，ICU 目标性监测个案登记尚未提供。向外部院感监测网上报 ICU 个案须依据其数据集与传输规范进行对接，规范与账号由医院向主管部门申请获取；平台当前未内置该报送通道，个案登记与接口对接列入后续开发计划。
3041,,,支持上报医院现患率调结果。,外部条件,平台当前提供现患率调查表一键生成与页面展示。向外部监测平台上报现患率调查结果须依据其数据规范进行对接，规范与账号由医院向主管部门申请获取；平台当前未内置该报送通道，接口对接列入后续开发计划。
3042,,,支持支持将现患率调查情况数据上报至四川省现患率平台，不用人工逐一录入患者调查个案表到平台。 **医院等级评审模块：** 统计医院等级评审及各项检查需要的统计质控指标（2024版医院感染管理12项指标）。,外部条件,平台当前提供现患率调查表一键生成。向四川省现患率平台批量上报调查数据须依据该平台接口规范与账号进行对接，由医院向省级主管部门申请获取；平台当前未内置该对接通道，个案表自动填充与批量上送列入后续开发计划。医院等级评审模块（2024 版医院感染管理 12 项指标）当前提供其中部分指标，详见后续条款应答。
3043,,,支持一站式统计报表。,部分响应,平台当前提供运营指标引擎，内置门诊人次、药占比、床位使用率、平均住院日、抗菌药处方占比等 9 项指标。本条所述院感管理 12 项指标的一站式统计报表尚未提供，列入后续开发计划。
3044,,,支持每一指标均有备注说明。,部分响应,平台当前指标定义包含编码、名称、单位与目标值。本条所述每一指标的备注/口径说明字段及展示尚未提供，列入后续开发计划。
3045,,,支持生成千日医院感染发病（例次）率。,部分响应,已提供：三管相关（导管相关血流感染、呼吸机相关肺炎、导尿管相关尿路感染）千置管日感染率统计。尚未提供：以同期住院患者住院日总数为分母的全院及科室千日医院感染发病（例次）率。上述缺项列入后续开发计划。
3046,,,支持生成医院感染现患（例次）率。,部分响应,已提供：院感监测页面的医院感染现患率（按现患感染人数/在院人数）。尚未提供：①按例次口径的现患例次率（同一患者多部位感染按例次计）；②历史调查结果留档（当前每次生成为实时快照）。上述缺项列入后续开发计划。
3047,,,支持生成医院感染病例漏报率。,部分响应,平台当前提供院感病例登记基础能力。本条所述医院感染病例漏报率（病例回顾抽查、应报/实报比对）尚未提供，列入后续开发计划。
3048,,,支持生成多重耐药菌感染发现率。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3049,,,支持生成多重耐药菌感染检出率。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3050,,,支持生成千日特定多重耐药菌医院感染例次发病率统计。,部分响应,平台当前提供药敏结果敏感/中介/耐药判读的结构化记录。本条所述多重耐药菌判定规则及千日特定多重耐药菌医院感染例次发病率统计尚未提供，列入后续开发计划。
3051,,,支持生成医务人员手卫生依从率。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3052,,,支持生成住院患者抗菌药物使用率。,部分响应,已提供：住院抗菌药物医嘱执行条数统计，以及抗菌药物分级管控；门诊侧提供抗菌药处方占比指标。尚未提供：住院患者抗菌药物使用率口径（以同期出院/在院患者数为分母、按患者去重），当前住院侧仅有绝对条数。上述缺项列入后续开发计划。
3053,,,支持生成抗菌药物治疗前病原学送检率。,部分响应,平台当前提供微生物检验结果与抗菌药医嘱的基础数据记录。本条所述抗菌药物治疗前病原学送检率（送检与首剂用药的时序关联统计）尚未提供，列入后续开发计划。
